Month,KPI,Value
2010-09,ItemsPerOrder,326.09167132476244
2010-10,ItemsPerOrder,276.0833333333333
2010-11,ItemsPerOrder,266.18412348401324
2010-12,ItemsPerOrder,230.52288845905863
2011-01,ItemsPerOrder,357.7659574468085
2011-02,ItemsPerOrder,258.58462946020126
2011-03,ItemsPerOrder,261.2402777777778
2011-04,ItemsPerOrder,249.11983805668012
2011-05,ItemsPerOrder,236.60671462829737
2011-06,ItemsPerOrder,254.51868852459015
2011-07,ItemsPerOrder,274.79766001376464
2011-08,ItemsPerOrder,313.49478390462
2011-09,ItemsPerOrder,312.6542056074766
2011-10,ItemsPerOrder,309.03341645885286
2011-11,ItemsPerOrder,271.5285350781534
2011-12,ItemsPerOrder,383.1507352941176
2009-12,MonthlyGrowthPct,
2010-01,MonthlyGrowthPct,-22.18905139973223
2010-02,MonthlyGrowthPct,-13.402789787138047
2010-03,MonthlyGrowthPct,41.62994266316793
2010-04,MonthlyGrowthPct,-15.134447461134048
2010-05,MonthlyGrowthPct,-0.4585520775226559
2010-06,MonthlyGrowthPct,8.376802501955316
2010-07,MonthlyGrowthPct,-9.162411578121144
2010-08,MonthlyGrowthPct,6.469627177727944
2010-09,MonthlyGrowthPct,28.87846547512709
2010-10,MonthlyGrowthPct,25.94872497031284
2010-11,MonthlyGrowthPct,30.6438912609428
2010-12,MonthlyGrowthPct,-45.75346111723293
2011-01,MonthlyGrowthPct,-13.612450719904334
2011-02,MonthlyGrowthPct,-24.240222906060428
2011-03,MonthlyGrowthPct,35.915448381868686
2011-04,MonthlyGrowthPct,-25.2965595541517
2011-05,MonthlyGrowthPct,43.5350977743808
2011-06,MonthlyGrowthPct,-0.2991845626702627
2011-07,MonthlyGrowthPct,-6.705139518162795
2011-08,MonthlyGrowthPct,6.829316349016645
2011-09,MonthlyGrowthPct,39.88590092705846
2011-10,MonthlyGrowthPct,7.266741102971674
2011-11,MonthlyGrowthPct,31.632724561736005
2011-12,MonthlyGrowthPct,-57.70244618263203
