InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536129,21977,PACK OF 60 PINK PAISLEY CAKE CASES,9,2025-07-26 14:42:12,0.5,12721.0,United Kingdom
565744,20725,LUNCH BAG RED RETROSPOT,11,2025-01-29 01:33:32,1.48,,Germany
536707,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2025-10-07 13:27:34,2.3,14639.0,United Kingdom
559409,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,2025-07-29 22:52:02,2.8,12523.0,United Kingdom
551364,85099B,JUMBO BAG RED RETROSPOT,12,2025-08-20 09:45:56,2.08,13774.0,United Kingdom
557945,20725,LUNCH BAG RED RETROSPOT,16,2025-07-26 16:47:27,1.65,17888.0,United Kingdom
557195,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2025-07-22 15:10:32,2.55,17303.0,United Kingdom
551105,20725,LUNCH BAG RED RETROSPOT,5,2025-02-03 23:31:11,1.65,17622.0,Spain
552370,85099B,JUMBO BAG RED RETROSPOT,9,2025-07-24 15:25:37,2.08,12219.0,Germany
553114,21977,PACK OF 60 PINK PAISLEY CAKE CASES,17,2025-10-18 11:17:57,0.55,15965.0,United Kingdom
559022,21977,PACK OF 60 PINK PAISLEY CAKE CASES,5,2025-04-21 00:18:52,0.5,15803.0,United Kingdom
560149,85123A,WHITE HANGING HEART T-LIGHT HOLDER,19,2025-08-09 19:17:43,2.8,12796.0,United Kingdom
551286,22423,REGENCY CAKESTAND 3 TIER,19,2025-01-12 08:08:14,14.02,17437.0,United Kingdom
547985,20725,LUNCH BAG RED RETROSPOT,2,2025-05-07 22:11:57,1.82,14426.0,EIRE
537447,85099B,JUMBO BAG RED RETROSPOT,7,2025-06-09 05:51:46,1.87,,United Kingdom
562493,21977,PACK OF 60 PINK PAISLEY CAKE CASES,5,2025-12-25 10:29:39,0.55,,France
543689,POST,POSTAGE,10,2025-03-20 19:53:56,18.0,15900.0,France
550762,85123A,WHITE HANGING HEART T-LIGHT HOLDER,18,2025-04-11 03:38:32,2.55,12784.0,Germany
569749,85099B,JUMBO BAG RED RETROSPOT,8,2025-05-30 06:36:37,2.08,17699.0,Spain
562683,85099B,JUMBO BAG RED RETROSPOT,13,2025-12-29 19:00:22,2.08,15645.0,United Kingdom
547759,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2025-11-08 07:36:54,2.3,12453.0,Spain
552147,POST,POSTAGE,11,2025-01-13 22:58:57,18.0,,France
547042,POST,POSTAGE,7,2025-03-27 12:54:24,18.0,,EIRE
557290,22423,REGENCY CAKESTAND 3 TIER,18,2025-10-27 19:48:19,12.75,12077.0,Germany
541194,POST,POSTAGE,15,2025-01-22 13:08:15,18.0,12052.0,EIRE
568389,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2025-11-09 01:05:03,2.8,17552.0,Netherlands
569562,POST,POSTAGE,12,2025-04-13 19:27:48,18.0,17887.0,United Kingdom
546150,20725,LUNCH BAG RED RETROSPOT,7,2025-12-01 10:04:28,1.48,,EIRE
543835,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2025-04-18 09:18:37,2.55,17416.0,France
554334,21977,PACK OF 60 PINK PAISLEY CAKE CASES,9,2025-06-08 17:40:19,0.55,15931.0,United Kingdom
557992,20725,LUNCH BAG RED RETROSPOT,16,2025-08-30 06:44:52,1.48,12168.0,Netherlands
557882,22423,REGENCY CAKESTAND 3 TIER,6,2025-02-16 10:16:23,12.75,16286.0,United Kingdom
537429,85099B,JUMBO BAG RED RETROSPOT,1,2025-07-23 14:35:52,2.29,12108.0,Germany
560174,21977,PACK OF 60 PINK PAISLEY CAKE CASES,4,2025-07-04 14:14:15,0.55,16899.0,United Kingdom
538260,85123A,WHITE HANGING HEART T-LIGHT HOLDER,16,2025-10-14 17:28:43,2.55,14201.0,United Kingdom
547627,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2025-12-30 01:58:25,2.55,12847.0,EIRE
560369,22423,REGENCY CAKESTAND 3 TIER,2,2025-08-31 23:49:20,12.75,13551.0,United Kingdom
566160,20725,LUNCH BAG RED RETROSPOT,8,2025-05-30 14:35:43,1.82,16100.0,United Kingdom
557595,85099B,JUMBO BAG RED RETROSPOT,17,2025-05-29 14:50:21,1.87,17081.0,United Kingdom
541430,85099B,JUMBO BAG RED RETROSPOT,17,2025-06-02 21:10:57,2.08,15424.0,United Kingdom
559125,85123A,WHITE HANGING HEART T-LIGHT HOLDER,19,2025-10-25 11:46:39,2.55,12962.0,EIRE
537259,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,2025-04-28 00:43:40,2.3,17400.0,Spain
543852,21977,PACK OF 60 PINK PAISLEY CAKE CASES,16,2025-03-02 03:11:37,0.61,16743.0,United Kingdom
540207,85123A,WHITE HANGING HEART T-LIGHT HOLDER,15,2025-05-03 22:44:20,2.3,14459.0,Germany
569486,21977,PACK OF 60 PINK PAISLEY CAKE CASES,1,2025-01-09 23:41:10,0.55,15326.0,United Kingdom
548524,85099B,JUMBO BAG RED RETROSPOT,8,2025-02-08 02:00:44,2.08,17783.0,Germany
554984,21977,PACK OF 60 PINK PAISLEY CAKE CASES,10,2025-02-02 16:26:23,0.61,14264.0,United Kingdom
562880,85099B,JUMBO BAG RED RETROSPOT,9,2025-10-09 15:51:21,1.87,12154.0,United Kingdom
568964,20725,LUNCH BAG RED RETROSPOT,16,2025-09-21 03:57:37,1.48,12874.0,United Kingdom
569846,85123A,WHITE HANGING HEART T-LIGHT HOLDER,19,2025-09-12 18:53:46,2.55,15601.0,Germany
541581,POST,POSTAGE,11,2025-06-18 11:01:56,19.8,17986.0,United Kingdom
549393,22423,REGENCY CAKESTAND 3 TIER,2,2025-09-19 05:31:58,14.02,16439.0,United Kingdom
549773,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2025-02-28 13:26:50,2.3,15707.0,EIRE
563071,21977,PACK OF 60 PINK PAISLEY CAKE CASES,4,2025-11-25 21:43:20,0.55,13938.0,France
547413,22423,REGENCY CAKESTAND 3 TIER,9,2025-07-02 05:12:18,12.75,14636.0,United Kingdom
543863,85099B,JUMBO BAG RED RETROSPOT,5,2025-12-09 14:51:05,2.29,12230.0,EIRE
561672,20725,LUNCH BAG RED RETROSPOT,2,2025-02-25 17:34:46,1.65,14226.0,Spain
552834,20725,LUNCH BAG RED RETROSPOT,4,2025-07-01 15:00:20,1.65,15740.0,United Kingdom
561417,21977,PACK OF 60 PINK PAISLEY CAKE CASES,10,2025-09-12 15:36:29,0.5,,Germany
548916,POST,POSTAGE,3,2025-06-30 17:25:03,18.0,,United Kingdom
552542,85099B,JUMBO BAG RED RETROSPOT,1,2025-06-12 05:36:35,2.08,16927.0,France
536310,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2025-03-02 02:26:22,2.3,12128.0,United Kingdom
536549,20725,LUNCH BAG RED RETROSPOT,13,2025-05-20 23:45:14,1.48,16867.0,France
536011,22423,REGENCY CAKESTAND 3 TIER,12,2025-03-29 07:40:14,12.75,13311.0,United Kingdom
541956,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2025-04-21 22:46:04,2.55,15697.0,United Kingdom
547819,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,2025-09-07 06:26:31,2.55,17678.0,Netherlands
537709,22423,REGENCY CAKESTAND 3 TIER,4,2025-08-19 06:22:21,14.02,17327.0,United Kingdom
541465,22423,REGENCY CAKESTAND 3 TIER,14,2025-08-10 00:35:54,12.75,15986.0,Spain
564798,22423,REGENCY CAKESTAND 3 TIER,1,2025-05-13 10:36:12,12.75,13795.0,Netherlands
565055,21977,PACK OF 60 PINK PAISLEY CAKE CASES,3,2025-12-17 22:40:45,0.5,,Spain
545852,20725,LUNCH BAG RED RETROSPOT,18,2025-02-01 21:28:29,1.65,16222.0,United Kingdom
568180,POST,POSTAGE,9,2025-05-06 07:18:45,19.8,15085.0,EIRE
540009,85123A,WHITE HANGING HEART T-LIGHT HOLDER,11,2025-02-13 09:45:03,2.55,14426.0,United Kingdom
537067,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2025-05-04 16:04:09,2.55,14417.0,United Kingdom
548041,21977,PACK OF 60 PINK PAISLEY CAKE CASES,13,2025-12-18 22:54:56,0.61,15599.0,Spain
545000,85123A,WHITE HANGING HEART T-LIGHT HOLDER,15,2025-05-14 14:29:51,2.55,12214.0,France
538627,85099B,JUMBO BAG RED RETROSPOT,15,2025-11-28 04:48:35,2.08,17988.0,United Kingdom
564813,21977,PACK OF 60 PINK PAISLEY CAKE CASES,5,2025-06-30 08:32:55,0.5,12612.0,United Kingdom
569281,20725,LUNCH BAG RED RETROSPOT,12,2025-09-13 17:22:35,1.65,17907.0,EIRE
545193,85123A,WHITE HANGING HEART T-LIGHT HOLDER,15,2025-06-16 00:33:52,2.3,12212.0,France
546710,21977,PACK OF 60 PINK PAISLEY CAKE CASES,8,2025-04-08 14:23:17,0.5,15075.0,United Kingdom
560425,21977,PACK OF 60 PINK PAISLEY CAKE CASES,8,2025-10-06 18:27:36,0.55,14505.0,Spain
567724,20725,LUNCH BAG RED RETROSPOT,12,2025-12-20 08:18:30,1.48,15443.0,United Kingdom
545752,22423,REGENCY CAKESTAND 3 TIER,11,2025-04-07 12:56:01,12.75,14601.0,United Kingdom
559212,20725,LUNCH BAG RED RETROSPOT,5,2025-10-12 17:13:37,1.65,17383.0,Germany
536786,20725,LUNCH BAG RED RETROSPOT,19,2025-04-06 14:17:03,1.65,,Netherlands
555247,22423,REGENCY CAKESTAND 3 TIER,11,2025-09-19 00:34:51,12.75,17913.0,United Kingdom
569563,21977,PACK OF 60 PINK PAISLEY CAKE CASES,11,2025-10-15 14:03:09,0.55,,United Kingdom
552166,21977,PACK OF 60 PINK PAISLEY CAKE CASES,4,2025-06-14 05:32:27,0.61,16671.0,United Kingdom
557812,22423,REGENCY CAKESTAND 3 TIER,13,2025-09-26 17:45:29,12.75,12838.0,Spain
559370,85099B,JUMBO BAG RED RETROSPOT,18,2025-04-10 06:16:15,2.29,12391.0,United Kingdom
557497,85099B,JUMBO BAG RED RETROSPOT,14,2025-01-29 23:28:34,2.29,14382.0,United Kingdom
559333,20725,LUNCH BAG RED RETROSPOT,10,2025-02-05 02:49:09,1.65,,Netherlands
566148,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,2025-06-13 21:22:28,2.8,,United Kingdom
536357,85099B,JUMBO BAG RED RETROSPOT,5,2025-11-26 00:48:54,2.08,17379.0,Germany
566076,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2025-02-16 16:23:28,2.8,14564.0,United Kingdom
566864,21977,PACK OF 60 PINK PAISLEY CAKE CASES,13,2025-06-16 08:28:14,0.61,16610.0,EIRE
566736,21977,PACK OF 60 PINK PAISLEY CAKE CASES,4,2025-09-14 04:41:19,0.55,12357.0,United Kingdom
548510,85099B,JUMBO BAG RED RETROSPOT,2,2025-03-15 05:14:18,2.08,16453.0,United Kingdom
555821,21977,PACK OF 60 PINK PAISLEY CAKE CASES,15,2025-09-21 00:55:27,0.61,12596.0,United Kingdom
548011,22423,REGENCY CAKESTAND 3 TIER,9,2025-04-22 03:11:19,12.75,16007.0,France
564570,22423,REGENCY CAKESTAND 3 TIER,17,2025-10-23 09:24:35,12.75,14292.0,EIRE
549824,20725,LUNCH BAG RED RETROSPOT,17,2025-07-31 03:46:31,1.65,,United Kingdom
546642,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2025-07-19 23:14:08,2.3,,United Kingdom
559299,20725,LUNCH BAG RED RETROSPOT,15,2025-03-06 19:49:49,1.48,14419.0,Spain
537678,21977,PACK OF 60 PINK PAISLEY CAKE CASES,7,2025-06-19 11:20:08,0.61,17246.0,United Kingdom
548784,POST,POSTAGE,14,2025-11-09 02:16:39,18.0,16853.0,United Kingdom
543013,22423,REGENCY CAKESTAND 3 TIER,1,2025-01-08 23:40:07,14.02,14041.0,Germany
548710,85099B,JUMBO BAG RED RETROSPOT,9,2025-10-04 17:23:47,2.08,13762.0,United Kingdom
551257,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2025-06-29 04:23:49,2.8,15054.0,United Kingdom
538157,POST,POSTAGE,9,2025-09-20 01:17:41,18.0,16108.0,United Kingdom
565398,21977,PACK OF 60 PINK PAISLEY CAKE CASES,11,2025-08-31 14:52:22,0.5,13094.0,United Kingdom
550165,21977,PACK OF 60 PINK PAISLEY CAKE CASES,1,2025-06-07 00:58:30,0.55,16357.0,United Kingdom
548199,20725,LUNCH BAG RED RETROSPOT,1,2025-04-23 14:44:36,1.82,17692.0,France
541082,22423,REGENCY CAKESTAND 3 TIER,12,2025-08-17 10:36:49,11.48,17067.0,Germany
569856,21977,PACK OF 60 PINK PAISLEY CAKE CASES,8,2025-02-21 21:07:51,0.5,15289.0,United Kingdom
565090,20725,LUNCH BAG RED RETROSPOT,11,2025-08-02 09:09:52,1.48,,EIRE
C552383,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-7,2025-02-04 10:44:58,2.55,13940.0,United Kingdom
547373,POST,POSTAGE,1,2025-08-26 13:05:52,19.8,16451.0,France
551894,POST,POSTAGE,14,2025-08-18 23:35:43,19.8,14729.0,United Kingdom
568669,POST,POSTAGE,3,2025-01-31 16:51:48,19.8,12638.0,EIRE
543527,20725,LUNCH BAG RED RETROSPOT,15,2025-10-04 16:03:55,1.82,,United Kingdom
559273,22423,REGENCY CAKESTAND 3 TIER,1,2025-06-01 07:26:07,14.02,12828.0,United Kingdom
566721,21977,PACK OF 60 PINK PAISLEY CAKE CASES,18,2025-10-15 11:35:54,0.55,,United Kingdom
561709,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2025-01-16 04:39:56,2.8,14504.0,United Kingdom
565585,20725,LUNCH BAG RED RETROSPOT,17,2025-03-07 09:23:57,1.65,14051.0,United Kingdom
